state,x,y
Alabama,139,-77
Alaska,-208,-176
Arizona,-204,-45
Arkansas,59,-52
California,-291,12
Colorado,-118,22
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Hawaii,-314,-154
Idaho,-209,115
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,60,-120
Maine,322,163
Maryland,288,27
Massachusetts,310,110
Michigan,148,101
Minnesota,23,135
Mississippi,94,-78
Missouri,49,6
Montana,-150,159
Nebraska,-61,66
Nevada,-257,56
New Hampshire,305,127
New Jersey,282,65
New Mexico,-125,-51
New York,225,108
North Carolina,239,-22
North Dakota,-46,160
Ohio,176,52
Oklahoma,-17,-39
Oregon,-292,131
Pennsylvania,238,72
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-34
Texas,-45,-108
Utah,-191,36
Vermont,282,154
Virginia,234,12
Washington,-265,191
West Virginia,200,20
Wisconsin,83,113
Wyoming,-134,91
