Japanese,Romanization,English
テレビ,Terebi,TV
カメラ,Kamera,Camera
ホテル,Hoteru,Hotel
ビル,Biru,Building
タクシー,Takushii,Taxi
バイク,Baiku,Motorbike
アルバイト (バイト）,Arubaito (shortened to baito),Part-time job
アイドル,Aidoru,Idol (pop singer)
マイク,Maiku,Microphone
エアコン,Eakon,Air conditioning
カレンダー,Karendaa,Calendar
エレベーター,Erebeetaa,Elevator
イラスト,Irasuto,Illustration
趣味,Shumi,hobby
テレビゲーム,Terebi geemu,Video games
読書,Dokusho,Reading
映画鑑賞,Eiga kanshou,Appreciation of movies
外国語を習う,Gaikokugo wo narau,Learning foreign languages
写真を撮る,Shashin wo toru,Photography
音楽鑑賞,Ongaku kanshou,Appreciation of music
スポーツ観戦,Supootsu Kansen,Watching sports games
パズル,Pazuru,Puzzles
裁縫,Saihou,Sewing / needlework
料理,Ryouri,Cooking
散歩,Sanpo,Walking
ジョギング,Jogingu,Jogging
サイクリング,Saikuringu,Cycling
ダンス,Dansu,Dancing
ヨガ,Yoga,Yoga
キャンプ,Kyampu,Camping
釣り,Tsuri,Fishing
サーフィン,Saafin,Surfing
スキー,Sukii,Skiing
ガーデニング,Gaadeningu,Gardening
メイク,Meiku,Makeup
祖父,Sofu,Grandfather
祖母,Sobo,Grandmother
おじ,Oji,Uncle
おば,Oba,Aunt
いとこ,Itoko,Cousin
両親,Ryoushin,Parents
父,Chichi,Father
母,Haha,Mother
兄弟,Kyoudai,Siblings
兄,Ani,Older brother
姉,Ane,Older sister
双子,Futago,Twin
弟,Otouto,Younger brother
妹,Imouto,Younger sister
子供,Kodomo,Children
息子,Musuko,Son
娘,Musume,Daughter
孫,Mago,Grandchild
おじいさん,Ojiisan,Grandfather
おばあさん,Obaasan,Grandmother
おじさん,Ojiasn,Uncle (also a general address for a middle aged man)
おばさん,Obasan,Aunt (also a general address for a middle aged woman)
お父さん,Otoosan,Father
パパ,Papa,Dad (childish connotation)
お母さん,Okaasan,Moother
ママ,Mama,Mom (childish connotation)
お兄さん,Oniisan,Older brother (also a general address for young men)
お姉さん,Oneesan,Older sister (also a general address for young women)
ペット,Petto,Pet
飼う,Kau,To raise (a pet)
犬,Inu,Dog
ワンワン,Wan wan,"Woof, bark"
猫,Neko,Cat
ニャーニャー,Nyaa nyaa,Meow
牛,Ushi,Cow
モーモー,Mou mou,Moo moo
豚,Buta,Pig
ブーブー,Buu buu,Oink oink
鶏,Niwatori,Chicken
おんどり,Ondori,Rooster
こけこっこー,Kokekokkoo,Cock-a-doodle-doo
ネズミ,Nezumi,Rat / mouse
チュー,Chuu,Squeak
馬,Uma,Horse
ヒヒーン,Hihiin,Neigh
キリン,Kirin,Giraffe
シマウマ,Shimauma,Zebra
像,Zou,Elephant
パオーン,Paoon,(elephant noise)
熊,Kuma,Bear
ライオン,Raion,Lion
ガオー,Gaoo,Roar
虎,Tora,Tiger
猿,Saru,Monkey
ゴリラ,Gorira,Gorilla
ホッキョクグマ,Hokkyokuguma,Polar bear
アジア,Ajia,Asia
日本,Nihon,Japan
中国,Chuugoku,China
韓国,Kankoku,(South) Korea
インド,Indo,India
シンガポール,Shingapooru,Singapore
インドネシア,Indoneshia,Indonesia
マレーシア,Mareeshia,Malaysia
欧州,Oushuu,Europe (formal)
ヨーロッパ,Yooroppa,Europe (informal)
英国,Eikoku,United Kingdom (formal)
イギリス,Igirisu,United Kingdom (informal)
ドイツ,Doitsu,Germany
ロシア,Roshia,Russia
イタリア,Itaria,Italy
フランス,Furansu,France
ポルトガル,Porutogaru,Portugal
オランダ,Oranda,Netherlands
北米,Hokubei,North America
米国,Beikoku,United States (formal)
アメリカ,Amerika,United States (informal)
カナダ,Kanada,Canada
中南米,Chuunanbei,Central and South America
メキシコ,Mekishiko,Mexico
アルゼンチン,Aruzenchin,Argentina
ブラジル,Burajiru,Brazil
コロンビア,Koronbia,Columbia
ペルー,Peruu,Peru
アフリカ,Afurika,Africa
セネガル,Senegaru,Senegal
モーリタニア,Mooritania,Mauritania
スーダン,Suudan,Sudan
南スーダン,Minami suudan,South Sudan
ナイジェリア,Naijeria,Nigeria
ガーナ,Gaana,Ghana
ケニア,Kenia,Kenya
南アフリカ,Minami Afurika,South Africa
北,Kita,North
東,Higashi,East
南,Minami,South
西,Nishi,West
遠い,Tooi,Far
近い,Chikai,Close / Near
大きい,Ookii,Large
小さい,Chiisai,Small
あなた,Anata,Dear (lit. you; used to address one’s husband)
-ちゃん,-chan,Adding -chan to someone’s name is cutesy and more commonly used for women and children
-くん,-kun,Adding -kun to someone’s name is most commonly used for men around your age you are friendly with. It is also sometimes used by authority figures such as teachers and bosses to all subordinates.
おしゃれ,Oshare,Stylish / cool
イケメン,Ikemen,Attractive / cool guy
やばい,Yabai,Sick (good and bad)
ウザい,Uzai,Annoying
ダサい,Dasai,Uncool / Unfashionable
だるい,Darui,Sluggish / slow
たぴる,Tapiru,To drink bubble tea (boba)
ググる,Guguru,To google something
KY / ケーワイ,Keewai,"Unable to read the room (comes from kuuki wo yomenai, lit. “can’t read the air”"
ウケる,Ukeru,Funny / hilarious
めっちゃ,Meccha,Very
ちょう,Chou,Really / so (emphatic)
マジ,Maji,Seriously
一,Ichi,1
二,Ni,2
三,San,3
四,Shi / yon,4
五,Go,5
六,Roku,6
七,Shichi / nana,7
八,Hachi,8
九,Kyuu,9
十,Juu,10
百,Hyaku,100
千,Sen,"1,000"
万,Man,"10,000"
億,Oku,"100,000"
